date,areaType,areaCode,areaName,covidOccupiedMVBeds,newAdmissions,newCasesBySpecimenDate,newDeaths28DaysByDeathDate
"2021-02-25",nation,S92000003,Scotland,89,,185,0
"2021-02-24",nation,S92000003,Scotland,93,,663,5
"2021-02-23",nation,S92000003,Scotland,93,,677,11
"2021-02-22",nation,S92000003,Scotland,99,68,792,19
"2021-02-21",nation,S92000003,Scotland,99,59,612,15
"2021-02-20",nation,S92000003,Scotland,98,74,660,26
"2021-02-19",nation,S92000003,Scotland,98,82,890,40
"2021-02-18",nation,S92000003,Scotland,95,69,879,31
"2021-02-17",nation,S92000003,Scotland,99,64,832,26
"2021-02-16",nation,S92000003,Scotland,100,93,910,22
"2021-02-15",nation,S92000003,Scotland,102,84,969,32
"2021-02-14",nation,S92000003,Scotland,104,63,684,31
"2021-02-13",nation,S92000003,Scotland,110,69,543,30
"2021-02-12",nation,S92000003,Scotland,115,85,904,38
"2021-02-11",nation,S92000003,Scotland,109,90,845,33
"2021-02-10",nation,S92000003,Scotland,113,79,846,35
"2021-02-09",nation,S92000003,Scotland,112,94,756,47
"2021-02-08",nation,S92000003,Scotland,108,79,996,39
"2021-02-07",nation,S92000003,Scotland,108,91,657,42
"2021-02-06",nation,S92000003,Scotland,117,89,693,50
"2021-02-05",nation,S92000003,Scotland,123,113,939,41
"2021-02-04",nation,S92000003,Scotland,127,108,901,28
"2021-02-03",nation,S92000003,Scotland,131,108,928,47
"2021-02-02",nation,S92000003,Scotland,143,109,1050,41
"2021-02-01",nation,S92000003,Scotland,143,121,1100,42
"2021-01-31",nation,S92000003,Scotland,143,101,812,47
"2021-01-30",nation,S92000003,Scotland,142,113,782,42
"2021-01-29",nation,S92000003,Scotland,144,145,963,58
"2021-01-28",nation,S92000003,Scotland,142,136,1121,45
"2021-01-27",nation,S92000003,Scotland,145,150,1114,58
"2021-01-26",nation,S92000003,Scotland,149,151,1174,51
"2021-01-25",nation,S92000003,Scotland,151,146,1321,52
"2021-01-24",nation,S92000003,Scotland,157,119,864,65
"2021-01-23",nation,S92000003,Scotland,159,142,937,53
"2021-01-22",nation,S92000003,Scotland,161,165,1244,66
"2021-01-21",nation,S92000003,Scotland,161,190,1243,57
"2021-01-20",nation,S92000003,Scotland,156,181,1589,63
"2021-01-19",nation,S92000003,Scotland,150,194,1558,70
"2021-01-18",nation,S92000003,Scotland,146,174,1738,62
"2021-01-17",nation,S92000003,Scotland,147,158,1198,42
"2021-01-16",nation,S92000003,Scotland,145,169,1177,76
"2021-01-15",nation,S92000003,Scotland,141,176,1553,58
"2021-01-14",nation,S92000003,Scotland,142,202,1626,54
"2021-01-13",nation,S92000003,Scotland,134,178,1711,51
"2021-01-12",nation,S92000003,Scotland,133,203,1990,50
"2021-01-11",nation,S92000003,Scotland,126,241,2107,47
"2021-01-10",nation,S92000003,Scotland,123,163,1431,58
"2021-01-09",nation,S92000003,Scotland,109,180,1498,37
"2021-01-08",nation,S92000003,Scotland,102,198,1841,41
"2021-01-07",nation,S92000003,Scotland,100,199,2205,44
"2021-01-06",nation,S92000003,Scotland,95,198,2560,48
"2021-01-05",nation,S92000003,Scotland,93,193,3061,37
"2021-01-04",nation,S92000003,Scotland,83,185,2386,35
"2021-01-03",nation,S92000003,Scotland,81,137,2222,41
"2021-01-02",nation,S92000003,Scotland,78,150,2219,39
"2021-01-01",nation,S92000003,Scotland,73,136,1167,34
"2020-12-31",nation,S92000003,Scotland,70,169,2379,43
"2020-12-30",nation,S92000003,Scotland,69,186,2973,32
"2020-12-29",nation,S92000003,Scotland,65,153,3149,26
"2020-12-28",nation,S92000003,Scotland,56,150,1825,30
"2020-12-27",nation,S92000003,Scotland,54,145,1705,31
"2020-12-26",nation,S92000003,Scotland,52,108,1058,32
"2020-12-25",nation,S92000003,Scotland,47,80,520,34
"2020-12-24",nation,S92000003,Scotland,56,96,1022,36
"2020-12-23",nation,S92000003,Scotland,56,101,1324,33
"2020-12-22",nation,S92000003,Scotland,60,99,1332,28
"2020-12-21",nation,S92000003,Scotland,59,105,1323,24
"2020-12-20",nation,S92000003,Scotland,58,68,824,29
"2020-12-19",nation,S92000003,Scotland,53,93,756,27
"2020-12-18",nation,S92000003,Scotland,50,88,930,23
"2020-12-17",nation,S92000003,Scotland,50,98,914,34
"2020-12-16",nation,S92000003,Scotland,49,108,1051,31
"2020-12-15",nation,S92000003,Scotland,45,84,1037,31
